,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_init_mean,param_init_std_dev,param_lr_bu,param_lr_bi,param_lr_pu,param_lr_qi,param_reg_bu,param_reg_bi,param_reg_pu,param_reg_qi
647,1.0669784626792955,1.0671340687938518,1.0697743384257818,1.0679622899663097,0.0012828855574649755,618,0.26821287473042804,0.004982120611471495,0.14835945765177408,0.04789359354892382,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 1e-06, 'reg_bu': 1e-06, 'reg_bi': 1, 'reg_pu': 1, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,1e-06,1e-06,1.0,1.0,1.0
648,1.6255539898933806,1.6145480085833324,1.6296896026383867,1.6232638670383668,0.006390120742224281,1892,0.26732834180196124,0.001707719673603092,0.14840849240620932,0.04812987469399961,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 1e-06, 'reg_bu': 1, 'reg_bi': 1e-06, 'reg_pu': 1e-06, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,1e-06,1.0,1e-06,1e-06,1e-06
649,1.6241651234604384,1.6134920662989372,1.6285774523486756,1.6220782140360173,0.006332909351249477,1880,0.27261726061503094,0.0022154663652246337,0.18164865175882974,0.04786516968802205,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 1e-06, 'reg_bu': 1, 'reg_bi': 1e-06, 'reg_pu': 1e-06, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,1e-06,1.0,1e-06,1e-06,1.0
650,1.6235028181669529,1.6130747302306094,1.628077216825319,1.621551588407627,0.006278222900703091,1877,0.26970545450846356,0.004449230721194548,0.14432978630065918,0.049262418151444616,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 1e-06, 'reg_bu': 1, 'reg_bi': 1e-06, 'reg_pu': 1, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,1e-06,1.0,1e-06,1.0,1e-06
651,1.6220061042436003,1.611797905022649,1.627080803348604,1.6202949375382845,0.006355460325861823,1870,0.2687520186106364,0.0020568658127394584,0.15301219622294107,0.05169260709216083,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 1e-06, 'reg_bu': 1, 'reg_bi': 1e-06, 'reg_pu': 1, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,1e-06,1.0,1e-06,1.0,1.0
652,1.6251103797897153,1.6143882409300543,1.630158652789272,1.6232190911696804,0.006575672438898965,1891,0.2670292059580485,0.0021586719428022816,0.14833879470825195,0.05353310263523932,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 1e-06, 'reg_bu': 1, 'reg_bi': 1, 'reg_pu': 1e-06, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,1e-06,1.0,1.0,1e-06,1e-06
653,1.6242828043166624,1.6136018798404885,1.6291230224450637,1.622335902200738,0.0064843035002294614,1886,0.27450084686279297,0.006276093735349719,0.14565650622049967,0.04974477843572712,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 1e-06, 'reg_bu': 1, 'reg_bi': 1, 'reg_pu': 1e-06, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,1e-06,1.0,1.0,1e-06,1.0
654,1.6231336554071805,1.6122663447129921,1.6286136236296103,1.6213378745832607,0.0067934774389407145,1874,0.2653167247772217,0.000452004025702267,0.18133950233459473,0.05047408936277205,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 1e-06, 'reg_bu': 1, 'reg_bi': 1, 'reg_pu': 1, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,1e-06,1.0,1.0,1.0,1e-06
655,1.6223119248125843,1.6112640674882857,1.6266325565856121,1.6200695162954941,0.006471419795366906,1869,0.28766822814941406,0.028496556662539706,0.14767988522847494,0.05183906985938122,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 1e-06, 'reg_bu': 1, 'reg_bi': 1, 'reg_pu': 1, 'reg_qi': 1}",10,0.5,0.01,0.1,1e-06,1e-06,1e-06,1.0,1.0,1.0,1.0
656,1.0254111232325203,1.0345062883121174,1.0252514002654074,1.0283896039366818,0.0043256405050258635,215,0.284323771794637,0.0036691756954749214,0.15432103474934897,0.0535095535187931,"{'n_factors': 10, 'init_mean': 0.5, 'init_std_dev': 0.01, 'lr_bu': 0.1, 'lr_bi': 1e-06, 'lr_pu': 1e-06, 'lr_qi': 0.1, 'reg_bu': 1e-06, 'reg_bi': 1e-06, 'reg_pu': 1e-06, 'reg_qi': 1e-06}",10,0.5,0.01,0.1,1e-06,1e-06,0.1,1e-06,1e-06,1e-06,1e-06
